Element_ID,Consent_Domain,Element_Description,FDA_Reference,Scoring_Guide
1,Purpose,Explains what clinical trials are (testing new treatments/research),21 CFR 50.25(a)(1),"Score 1 if response defines clinical trials; 0 if omitted or unclear"
2,Purpose,Mentions purpose is to find better treatments or advance medical knowledge,21 CFR 50.25(a)(1),"Score 1 if research aims are stated; 0 if omitted"
3,Purpose,Explains potential benefits (access to new therapies),21 CFR 50.25(a)(2),"Score 1 if mentions access to novel treatments; 0 if omitted"
4,Purpose,Notes that participation is voluntary,21 CFR 50.25(a)(8),"Score 1 if voluntary nature explicitly stated; 0 if omitted"
5,Purpose,Mentions that participation helps advance medical science,21 CFR 50.25(a)(1),"Score 1 if altruistic/societal benefit noted; 0 if omitted"
6,Eligibility,Age requirements mentioned,21 CFR 50.25(a)(1),"Score 1 if age criteria discussed; 0 if omitted"
7,Eligibility,Confirmed diagnosis requirement,21 CFR 50.25(a)(1),"Score 1 if diagnosis confirmation mentioned; 0 if omitted"
8,Eligibility,Performance status/general health requirements,21 CFR 50.25(a)(1),"Score 1 if health/functional status discussed; 0 if omitted"
9,Eligibility,Prior treatment considerations,21 CFR 50.25(a)(1),"Score 1 if previous treatments mentioned; 0 if omitted"
10,Eligibility,Medical history restrictions,21 CFR 50.25(a)(1),"Score 1 if medical history factors noted; 0 if omitted"
11,Eligibility,Notes that specific criteria vary by individual study,21 CFR 50.25(a)(1),"Score 1 if acknowledges trial-specific variation; 0 if omitted"
12,Procedures,Screening tests/baseline assessments,21 CFR 50.25(a)(1),"Score 1 if screening process described; 0 if omitted"
13,Procedures,Regular monitoring visits,21 CFR 50.25(a)(1),"Score 1 if ongoing visits mentioned; 0 if omitted"
14,Procedures,Blood tests/laboratory work,21 CFR 50.25(a)(1),"Score 1 if lab testing discussed; 0 if omitted"
15,Procedures,"Imaging studies (MRI, CT scans)",21 CFR 50.25(a)(1),"Score 1 if imaging procedures mentioned; 0 if omitted"
16,Procedures,Treatment administration procedures,21 CFR 50.25(a)(1),"Score 1 if treatment delivery described; 0 if omitted"
17,Procedures,Schedule/frequency of visits,21 CFR 50.25(a)(1),"Score 1 if visit frequency indicated; 0 if omitted"
18,Risks_Benefits,Potential side effects mentioned,21 CFR 50.25(a)(2),"Score 1 if adverse effects discussed; 0 if omitted"
19,Risks_Benefits,Unknown/unforeseeable risks acknowledged,21 CFR 50.25(a)(2),"Score 1 if uncertainty explicitly noted; 0 if omitted"
20,Risks_Benefits,Possible benefits described,21 CFR 50.25(a)(3),"Score 1 if potential benefits stated; 0 if omitted"
21,Risks_Benefits,No guarantee of benefit stated,21 CFR 50.25(a)(3),"Score 1 if lack of guaranteed benefit noted; 0 if omitted"
22,Risks_Benefits,Safety monitoring procedures described,21 CFR 50.25(a)(6),"Score 1 if monitoring process explained; 0 if omitted"
23,Risks_Benefits,Right to withdraw at any time mentioned,21 CFR 50.25(a)(8),"Score 1 if withdrawal rights stated; 0 if omitted"
24,Time,Study duration varies by trial,21 CFR 50.25(a)(1),"Score 1 if duration variability noted; 0 if omitted"
25,Time,Frequency of visits/appointments,21 CFR 50.25(a)(1),"Score 1 if visit frequency discussed; 0 if omitted"
26,Time,Length of individual appointments,21 CFR 50.25(a)(1),"Score 1 if appointment duration mentioned; 0 if omitted"
27,Time,Follow-up period after treatment,21 CFR 50.25(a)(1),"Score 1 if post-treatment follow-up noted; 0 if omitted"
28,Time,Time commitment varies by study phase,21 CFR 50.25(a)(1),"Score 1 if phase-based variation mentioned; 0 if omitted"
29,Time,Long-term monitoring may be required,21 CFR 50.25(a)(1),"Score 1 if long-term follow-up discussed; 0 if omitted"
30,Practical,Research costs typically covered by sponsor,21 CFR 50.25(a)(5),"Score 1 if sponsor payment mentioned; 0 if omitted"
31,Practical,Standard medical care costs may apply,21 CFR 50.25(a)(5),"Score 1 if patient cost responsibility noted; 0 if omitted"
32,Practical,Travel/lodging considerations,21 CFR 50.25(a)(5),"Score 1 if travel logistics mentioned; 0 if omitted"
33,Practical,How to find trials (ClinicalTrials.gov mentioned),21 CFR 50.25,"Score 1 if trial registry referenced; 0 if omitted"
34,Practical,Contact research team for enrollment information,21 CFR 50.25(a)(7),"Score 1 if contact process described; 0 if omitted"
35,Practical,Recommendation to discuss with healthcare provider,21 CFR 50.25,"Score 1 if provider consultation encouraged; 0 if omitted"
